Item,Expenses,Income
Agua,3450,
Ahorro,20000,
Arriendo,264241,
Bono Guardia,,37297
Cafetera,23660,
"Comida: Salchichas, Choclo, Sopaipillas",7000,
Coursera,60000,
Estacionamiento,50000,
Galletas + Croissant Campeonato,4000,
Galletas Campeonato,2000,
Gastos Comunes,103725,
Google One,8990,
Gym,29900,
Internet Hogar,22610,
Internet Movil,11514,
"Leche, galletas",5000,
Luz,49090,
Pan,2112,
Pan + Mermelada,3574,
Pan 2,2000,
Panty,9500,
Plan TC,3141,
Pollo Crocante,3490,
Spotify,4550,
Sueldo Equans,,717290
Tapon Lavaloza,1396,
Transporte Publico,38000,
